issue_id,category,status,source_file,line,old_number_or_claim,reason,replacement_or_required_action,evidence_new,source_sha256,source_snapshot
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/deep-search-prompt.md,33,Objeto central: A_req = ganho de PTF requerido. Baseline atual 7.26%.,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/deep-search-prompt.md,33,Objeto central: A_req = ganho de PTF requerido. Baseline atual 7.26%.,"Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/deep-search-prompt.md,37,- Margem formal-informal com agregador CES (σ_sub disciplinado ≈ 0.60).,"Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
HOURS_SOURCE,Fonte e conceito de horas,revisao_exigida,../jornada 6x1/50-paper/deep-search-prompt.md,43,"Dados: PNAD Contínua 2025 (informalidade 37.8%), RAIS/CAGED 2022, PWT 10.01, DIEESE.",Pesos .085/.269/.646 atribuídos a DIEESE/Table7 sem tabela verificável; V4039 habitual não mede horas contratadas.,"Manter pesos legados identificados como hipótese. PNAD: habitualV4039, efetivaV4039C, sem substituir por contratada. Principal mantém habitual integral; topcode44 é cenário separado.",data_intermediate/reprocessed/pnad_targets.json; data_intermediate/reprocessed/rais_targets.json,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/deep-search-prompt.md,43,"Dados: PNAD Contínua 2025 (informalidade 37.8%), RAIS/CAGED 2022, PWT 10.01, DIEESE.","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
VINTAGE,"Trimestre, versão e universo",revisao_exigida,../jornada 6x1/50-paper/deep-search-prompt.md,43,"Dados: PNAD Contínua 2025 (informalidade 37.8%), RAIS/CAGED 2022, PWT 10.01, DIEESE.","pnad_targets legado contém média2025=37,8% e2025T4=37,6%, mas setor/microdados manuscrito usam2024T4.","Declarar cada vintage. Principal empírico2024T4; versão do arquivoPNADC_042024_20250815 e pesoV1028. Não chamar37,8 e38,6001 de simples atualização de definição sem decompor vintage.",data_intermediate/pnad_targets.json; data_intermediate/reprocessed/manifest.json,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
HOURS_SOURCE,Fonte e conceito de horas,revisao_exigida,../jornada 6x1/50-paper/deep-search-prompt.md,52,"and productivity), PWT, DIEESE, Blanchard (2018, toy models JEP).",Pesos .085/.269/.646 atribuídos a DIEESE/Table7 sem tabela verificável; V4039 habitual não mede horas contratadas.,"Manter pesos legados identificados como hipótese. PNAD: habitualV4039, efetivaV4039C, sem substituir por contratada. Principal mantém habitual integral; topcode44 é cenário separado.",data_intermediate/reprocessed/pnad_targets.json; data_intermediate/reprocessed/rais_targets.json,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/deep-search-prompt.md,72,1.4. Taxa histórica de PTF no Brasil (décadas 1990-2020). Ferreira-Pessôa-Veloso e sequências;,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/deep-search-prompt.md,73,Bonelli; Gomes-Pessôa-Veloso. Quero números comparáveis a A_req=7.26%.,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/deep-search-prompt.md,73,Bonelli; Gomes-Pessôa-Veloso. Quero números comparáveis a A_req=7.26%.,"Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/deep-search-prompt.md,85,2.3. Efeitos de mudanças em horas formais sobre informalidade em economias em desenvolvimento.,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/deep-search-prompt.md,99,3.4. Preferências GHH em aplicações de welfare de política trabalhista. Greenwood-Hercowitz-,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,18e7f958617c8d473ef818c067e3d31ba7537a28afab4260549255170731f1be,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/paper-jornada-6x1.md,17,"Quanto a PTF brasileira precisaria crescer para que a redução mandatória da jornada formal de 44 para 36 horas (PL 1.105/2023, PEC 8/2025) não derrube o PIB de curto prazo?","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/paper-jornada-6x1.md,21,"**A_req** — ganho de PTF requerido. Baseline atual: 7.26% (σ=0.60), intervalo disciplinado [7.01%, 7.55%] para σ∈[0.57, 0.64].","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/paper-jornada-6x1.md,21,"**A_req** — ganho de PTF requerido. Baseline atual: 7.26% (σ=0.60), intervalo disciplinado [7.01%, 7.55%] para σ∈[0.57, 0.64].","Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
GHH_CE,Composto GHH versus CE,revisao_exigida,../jornada 6x1/50-paper/paper-jornada-6x1.md,37,2. Microfundamentação GHH com ΔCV.,"(C1-v1)/(C0-v0)-1 é variação percentual do composto, não CE normalizado pelo consumo.","Renomear dGHH; acrescentar CE=[C1-C0-v1+v0]/C0. Usar colunas dGHH_pct e CE_pct do COMPARATIVO_RESULTADOS.csv, nunca tratar dCV legado como CE.",src/model/welfare.py; COMPARATIVO_RESULTADOS.csv,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/paper-jornada-6x1.md,37,2. Microfundamentação GHH com ΔCV.,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/paper-jornada-6x1.md,38,3. Métrica A_req comunicável contra taxas históricas de PTF (ver [[growth-accounting-ptf]]).,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/paper-jornada-6x1.md,46,| σ_sub | ✅ disciplinado a 0.60 via wage-premium SMM ([[ws-ps-model]] é a ancoragem teórica natural) |,"Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/paper-jornada-6x1.md,47,"| Modelo | ✅ 9 módulos, 20/20 testes (`MODEL_VALIDATION.md`) |","Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/paper-jornada-6x1.md,55,"- **ω (peso CES) não disciplinado** — range 2.77pp em A_req. (Red Team, ataque 1.)","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,90c0f6553682b2439f976a62d98fbc84fd2032e337bfe819f97e6ca151274e1f,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,28,## 2. Growth accounting como ancoragem de A_req,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,30,"**Carlin-Soskice (cap. 16.3.3)**: growth accounting canônico `Δy/y = α Δk/k + (1-α) Δl/l + ΔA/A`. O resíduo A é a PTF. A literatura discute convergência condicional, unconditional convergence recente em developing (Patel-Sandefur-Subramanian 2021, citado).","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,32,"**Paper**: A_req é o ganho de A necessário. A comunicação atual (""8.4% legado"", ""7.26% disciplinado"") não é ancorada contra taxas históricas observadas.","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/pontes-carlin-soskice.md,32,"**Paper**: A_req é o ganho de A necessário. A comunicação atual (""8.4% legado"", ""7.26% disciplinado"") não é ancorada contra taxas históricas observadas.","Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,34,**Ponte**: adicionar um parágrafo em 3.1 ou 3.6 comparando A_req brasileiro com:,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,41,**Onde incluir**: Introdução (motivação de A_req como métrica) e Seção 3.3 ou 3.6 (resultado).,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,49,**Ponte**: a defesa da escolha pode invocar Carlin-Soskice cap. 15 para argumentar que a margem extensiva via Beveridge curve é lenta em horizonte de 1 ano — o que justifica N fixo no curto prazo — mas que no médio prazo o mecanismo Hansen-Rogerson (work-sharing) mitigaria A_req.,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,65,"**Carlin-Soskice (cap. 17)**: o puzzle de produtividade (productivity slowdown apesar da revolução ICT) e a variedade nacional de inovação. Brasil não aparece explicitamente, mas o frame é aplicável: economias atrasadas na fronteira ICT têm PTF lenta.","Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,67,**Paper**: não discute a plausibilidade estrutural de A_req=7.26% dada a estrutura de inovação do Brasil.,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
STALE_DERIVATIVES,Arquivos de submissão/apoio antigos,revisao_exigida,../jornada 6x1/50-paper/pontes-carlin-soskice.md,67,**Paper**: não discute a plausibilidade estrutural de A_req=7.26% dada a estrutura de inovação do Brasil.,"Cópias de submissão,texautogerado e notas locais retêm calibrações diferentes e conclusões antigas.","Preservar como histórico; não usar como saída nova. Regenerar PDFs e ZIPs somente após revisar fontesPT/EN; atualizar notas que dizem baseline atual7,26%sigma.60.",paper/arxiv_submission_main_pt*/; ../jornada 6x1/50-paper/paper-jornada-6x1.md,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,94,| 2. A_req vs PTF histórica | Médio (precisa dados) | Alto (comunicação) | **1** |,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
RESULTS,Resultados e conclusões dependentes,triagem_contexto_numerico,../jornada 6x1/50-paper/pontes-carlin-soskice.md,96,| 5. ICT e plausibilidade de A_req | Baixo (discussão) | Médio (retórico) | **2** |,"Valores deA_req,produto,informalidade,GHH,limiares,ranking,setores e comparações históricas dependem do código/dados corrigidos.","Regenerar da versão explícita no COMPARATIVO_RESULTADOS.csv. Mostrar original,código corrigido/entradas congeladas e reprocessado; separar ponte e topcode44. Não fixar novo principal por busca textual.",COMPARATIVO_RESULTADOS.csv; output/corrected/,e760efce3c822a6a8703c5da671489d938bcc5baa1b3c274a58ddcdf7f3d27a8,
